,coeff,|coeff|,signe_coeff
NAME_HOUSING_TYPE_With parents,-0.010758206146859902,0.010758206146859902,-1
NAME_HOUSING_TYPE_Municipal apartment,0.12102043830225671,0.12102043830225671,1
NAME_HOUSING_TYPE_Office apartment,-0.14437364901500635,0.14437364901500635,-1
NAME_HOUSING_TYPE_Co-op apartment,-0.04171893344219002,0.04171893344219002,-1
OCCUPATION_TYPE_Laborers,0.06655017035632843,0.06655017035632843,1
OCCUPATION_TYPE_Core staff,-0.0690102825439154,0.0690102825439154,-1
OCCUPATION_TYPE_Accountants,-0.12680104936294134,0.12680104936294134,-1
OCCUPATION_TYPE_Managers,0.023714277299720088,0.023714277299720088,1
OCCUPATION_TYPE_manquant,0.0,0.0,0
OCCUPATION_TYPE_Drivers,0.18681884104830004,0.18681884104830004,1
OCCUPATION_TYPE_Sales staff,0.05358397422464779,0.05358397422464779,1
OCCUPATION_TYPE_Cleaning staff,0.10340762802393826,0.10340762802393826,1
OCCUPATION_TYPE_Cooking staff,0.06850489110309044,0.06850489110309044,1
OCCUPATION_TYPE_Private service staff,-0.008667670694700702,0.008667670694700702,-1
OCCUPATION_TYPE_Medicine staff,-0.0660500361407213,0.0660500361407213,-1
OCCUPATION_TYPE_Security staff,0.10664385583932429,0.10664385583932429,1
OCCUPATION_TYPE_High skill tech staff,-0.05473898189729096,0.05473898189729096,-1
OCCUPATION_TYPE_Waiters/barmen staff,0.13273504498737776,0.13273504498737776,1
OCCUPATION_TYPE_Low-skill Laborers,0.19374334602401794,0.19374334602401794,1
OCCUPATION_TYPE_Realty agents,0.015375493748818515,0.015375493748818515,1
OCCUPATION_TYPE_Secretaries,0.07399239761534795,0.07399239761534795,1
OCCUPATION_TYPE_IT staff,-0.04843639388342786,0.04843639388342786,-1
OCCUPATION_TYPE_HR staff,0.01723980528266057,0.01723980528266057,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.043759139957785034,0.043759139957785034,1
WEEKDAY_APPR_PROCESS_START_MONDAY,-0.02839007181394306,0.02839007181394306,-1
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.03770192645922425,0.03770192645922425,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,-0.09631185383873216,0.09631185383873216,-1
WEEKDAY_APPR_PROCESS_START_SATURDAY,-0.035422477333645064,0.035422477333645064,-1
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.032748040663340326,0.032748040663340326,1
